Id;Non Conformance Title;Classification;Pending Steps;Case Worker;Status;Registration Time;Registered By;Reoccurrence;Completed On;Impact Other;Investigation summary;Impact Assessment;Root cause description;Classification justification;Segregation of product;Discarded product;Started new production;Repeated operation/analysis
375;"Delivery of ADCF medium made to the wrong address and stored at 10+ degrees for several days";High risk;;Gudrun Richstad;Completed;24/01/2025 05:48 AM;Gudrun Richstad;NO;26/03/2025 03:08 PM;;"Medium was delivered to wrong address due to errors in packaging at suppliers, causing it to be stored at temperature outside manufacturers specification.. ";"Specification for material states storage temperature is to be 2-8 degrees, this is further confirmed by Cytiva when contacting them about the issue. There are no stability data available for temperature outside this limit.  Material was delivered to NMD the following week, however as DHL does not have a storage area with controlled temperature at 2-8 degrees the medium was in a loading dock for 4-5 days before being shipped to NMD. It is therefore not possible to determine excact temperatures the shippment was expsed to, but most likely a few degrees above outside temperature which was as follows: which makes it between 0-10 degrees  As it is safe to assume that the temperature did only deviate a few degrees, it is likely that the components of the medium have not been impacted and it works as expected.  the wrong temperature can impact several factors, such as chemical Instability where some medium components (e.g., amino acids, vitamins, growth factors) may degrade outside the recommended temperature range. It can also cause precipitation as certain salts or supplements might crystallize or precipitate at 0°C, altering medium composition. Microbial Contamination can be a concern as temperatures above 8°C could accelerate microbial growth if contamination occurs. Finally temperature can affect product performance as the functionality of the medium may be affected, leading to suboptimal cell growth.  To be able to use the medium, testing needs to be done to estimate impact to these factors. this is anchored in CAPA270. Until testing has been performed and concluded on, the medium must stay quaranteened and can not be used for production purposes.  As this medium has not been used for any productions, and will stay in quarenteen until either tested to be working or discarded, this has no impact to product quality. As stock of ADCF was sufficient at the time, this issue did not impact any production timelines.";"Error in labelling of package at Suppliers, see SC2. Labell is generated by manufactureres system prior to shipping.";"As this impacts the quality of critical material this non conformance is classified as high risk";True;;;
376;"Weak band intensity in SDS-PAGE analysis";Low risk;;;Completed;30/01/2025 10:22 AM;Nina Granum;NO;06/02/2025 02:19 PM;;;;;"This is classified as a low-risk NC as there is no impact on product quality. An assessment was made to perform a new analysis to ensure that any potential bands would be detected, and we confirmed that no additional bands were present. ";;;;True
377;"Reslults from SDS-PAGE not approved according to specification in PS";Low risk;;;Completed;07/02/2025 02:13 PM;Nina Granum;NO;12/05/2025 08:05 AM;;;;;"NA. Ref NC346. Full investigation and conclusion will be conducted in that NC.";;;;
378;"Leakage in CL1000";Low risk;;;Completed;18/02/2025 01:32 PM;Hans Petter Johansen;YES;08/05/2025 01:43 PM;;;;;"Low risk, no impact on quality. Supplier only guarantee for leakage up to 30 days (about H10) We have enough product to meet delivery amount and timeline.";False;False;;
379;"Not comparable duplicates for ELISA analysis";Low risk;;Nina Granum;Completed;20/02/2025 03:41 PM;Nina Granum;YES;27/02/2025 08:46 AM;;"ELISA procedure is very manual, with a lot of steps in the procedure where the accuracy is very important. Even if the operators are well trained in the process, there are many steps where a small inaccuracy can lead to errors. The process is very manual and not very robust. ";"This is an in process analysis and this analysis does not have any impact on the product quality. A sufficient number of successful analyses have been performed for this production to ensure correct amount of product was produced.";"Most likely the root cause is the process, which is sensitive to small inaccuracies in volume during the dilution steps. The process is very manual with many pipetting steps witch are dependent on each other. ";"This in process analysis does not impact the quality of the product. This NC has no impact on customer agreements, employee safety or the validated state of the equipment. ";;;;
380;"Cells without documented negative mycoplasma test thawed in clean room";High risk;;Nina Granum;Completed;21/02/2025 01:21 PM;Nina Granum;NO;30/06/2025 02:49 PM;;"Cells were thawed inside of the clean room because the operator did not have sufficient time to prepare for the thawing and due to lack of communication and incomplete information on the PS that was followed. ";"No mycoplasma contamination was detected, so there was no impact on cell culture and will not have any impact on the product quality. If the cells had been contaminated, it could have led to cross-contamination and compromised cell quality, loss of productions and it could have impact on the status of the clean room. ";"Multiple personnel involved in the process, increasing the risk of miscommunication.There was conflicting information on the two PS for the two projects, while only one PS with missing information regarding mycoplasma test was followed during the thawing. ";"This NC is classified as high risk because a potential mycoplasma infection in the cells could contaminate the cleanroom and other cell lines in the clean room and mycoplasma is extremely challenging to eliminate. This may potentially impact timelines for multiple customers and result in a financial loss for the company.";;;;
381;"Medium used for maximizer production not recorded in medium register";Low risk;;;Completed;13/03/2025 03:12 PM;Nina Granum;NO;31/03/2025 10:01 AM;;;;;"No impact on process or product quality, employee safety or customer agreements.";;;;
382;"Initial harvest delayed for CL1000 production";Low risk;;;Completed;21/03/2025 02:04 PM;Nina Granum;NO;07/04/2025 10:24 AM;;;;;"This NC does not impact the quality of the product. It has no impact on customer agreement, employee safety or validated status of equipment. ";;;;
383;"Infection in CL1000 batch B9177";Low risk;;Suyog Basnet;Completed;28/03/2025 03:22 PM;Suyog Basnet;NO;13/05/2025 10:12 AM;;"Harvesting of CL1000 is a manual process and operators involved in this process harvests several CL1000 flasks every week. During routine harvesting, operator SBA observed turbidity in the outer medium of a CL1000 flask from batch B9177, indicating a possible infection, and the flask was removed and handled as per SOP1064. No other contamination signs were found in the remaining flasks, and samples from the affected flask and incubator taken for testing shows that the infection was limited to B9177. On 31.03.2025, the latest previous harvest from the affected batch were inspected, and H17 was discarded due to the potential infection. ";"Suspected infection in CL1000 production unit resulted in termination of production batch. B9177 was originally planned to be terminated at harvest 25, but due to the infection the batch was terminated at H18. Following termination, H17 (B9177-79) was also discarded after visual inspection. This impacts the total amount of harvest collected at the end of production from the batches. However, the loss of harvests is not large enough to make a significant impact on production and have no impact on the timeline as this production was for stock.       Infection possess a risk of cross-contamination. The incubator where the infected CL1000 was stored was sampled for infection and monthly cleaning was performed. The infection sampling result showed that the incubator was free from infection (Ref.: Infection sampling.pdf). Test performed showed that B9177 was infected, and visual inspection suggested that the lastest harvest (H17) was too. However, there were no signs of cross-contamination to other CL1000 flasks that were handled on the same time and stored in same incubator.  The infection was limited to a single CL1000 batch and thus the impact of the non-conformance as a whole is considered low.  Curida Diatec has the number of infections per year being five or less as one of the KPIs. This is the only infection registered for Q1 in 2025. ";"Training: The last recorded infection in a CL1000 flask was discovered on 24.10.2024 (NC371). Since then, operators have harvested several hundred CL1000 flasks without incident, indicating that the occurrence of contamination is low. All the operators working with CL1000 are approved for aseptic works. The fact that one production unit in clean room was infected without any spread is also a good sign of good aspectic work and cleaning routines, as this production unit was harvested in a series and kept together with other units in the CO2 incubator. Medium: Same harvest medium was used for B9177-94 and only B9177 was infected. A freshly opened medium is used for the outer medium of each CL1000 flask. So, it can be confirmed that the medium used was infection-free.  It is difficult to point out a specific root cause. It was one of the several CL1000 flasks harvested by the operator on this day, which have no supsicion of infection. The amount of CL1000 handled every week without being infected points to this being a a random compromise in sterile operation during handling of CL1000 flasks, something that is always a small risk for during manuel handling of cellculture. As this was an isolated incident, training and aseptic technique are not considered a likely root cause.";"The infection was limited to a single CL1000 batch and thus the impact of the non-conformance as a whole is considered low.  Curida Diatec has the number of infections per year being five or less as one of the KPIs. This is the only infection registered for Q1 in 2025. One production unit in clean room was infected without any spread which shows signs of good aspectic work and cleaning routines, as this production unit was harvested in a series and kept together with other units in the CO2 incubator.";;;;
384;"Communication alarm in sirius logger connected to DIA169";Low risk;;Suyog Basnet;Completed;10/04/2025 08:09 AM;Suyog Basnet;NO;23/04/2025 11:17 AM;;"Data loss occurred because the Sirius logger ran out of battery unexpectedly within 24 hours, despite the system's design to alarm users at 10% battery and provide a 4-week replacement window, as per SOP4032 v6.0. Although multiple control layers exist—including daily checks, regular admin reviews, and SMS alerts to operations—the failure was compounded by unclear communication between the admin and superuser.";"According to SOP4032 v 6.0, pt. 6.4.2, non conformance is registered if the data are outside the range for more than 24 hours. In this case, the loss of data was less than 24 hours. In addition, when operator HPJ went into the clean room, no unusual observation was made. The temperature was within the range just before and after the incident and the chances for dramatic change in the temperature during the non conformance period is low. So, the impact of the non-conformance is low.  ";"According to the JEL, JEL observed the alarm on 08.04.2025 and notified superuser (SBA) about the alarm. However SBA couldn't recall receiving the information. In addition, the alarm was not considered very critical as the battery should hold up to 4 weeks after the alarm. But it was not the case in this non-conformance. It was discussed with the facility manager regarding this issue and is decided that no CAPA is performed for this incident. The potential breakdown on communication could lead to similar non-conformance in the future. But with the timeframe that should have been available to replace battery and the levels of control on the sirius system, the incident has not occurred often. However, the logger will be closely monitored to check if there is any failure in the logger that could have led to draining the battery faster. Followed up in trend review by Facility manager.";"The incident occurred for less than 24 hours ";;;;
385;"Identical CED numbers used for different CEDEX analyses";Low risk;;;Completed;08/05/2025 10:45 AM;Nina Granum;NO;14/05/2025 09:01 AM;;;;;"No impact on product quality, validated state of equipment/process, customer agreements or employee safety.";;;;
386;"Product stopped and returned by customs";Low risk;;;Completed;10/06/2025 12:41 PM;Joakim Sørgård;NO;18/06/2025 10:12 AM;;;;;"The product was safely contained within correct temperatures as confirmed by shipping agent Biocair using a temperature logger. ";;;;
387;"Missing CO2 sirius data from incubator DIA024";Low risk;;Jim Eero Lamppu;Completed;10/06/2025 03:01 PM;Jim Eero Lamppu;NO;14/07/2025 08:16 AM;;"A data loss occurred from 14:28 on 08/06/2025 to 21:46 on 09/06/2025 due to a Sirius logger failure. Other systems were functioning normally, indicating no widespread issue or risk to incubator function. The incubator was not in use, and no immediate action was taken over the weekend. The logger was restarted manually on 09/06.";"On the 09.06.2025, JEL arrived at the lab and found that the logger display was blank. A simple restart (unplug battery) was sufficient to restart the logger. The incubator was running as normal with no indications of failure and similar CO2 measurments before and after the missing data period.. Batches 1A12 9233-38 og 9239-44 were in incubator DIA024 during the time 14:28 on 08/06/2025 to 21:46 on 09/06/2025. Based on the above obervations, it is unlikely that the batches have been in jepordy during this time.";"The likely cause can be logger hardware related as the display was dead on arrival. Battery contact can be an issue. It is also possiblly due to a design flaw in older firmware. The issue will be tracked in routine reviews.";"CO2 levels before and after the missing period are stable and similar to each other, and no apperant impact to cells within the incubator at the time of the incident. ";;;;
388;"Failed QC-ELISA  MCB titer";Low risk;;;Completed;24/06/2025 11:20 AM;Hans Petter Johansen;NO;04/07/2025 08:18 AM;;;;;"SOP5037 pt 4.1 for Out of Specification results states that all potential OOS results from QC testing must be classified as High Risk, however since we knew the technical requirement of dilution were not followed it is classified as low risk. The analysis were repeated correctly and successfully.";;;;True
389;"Thaw 961 started with too high volume";Low risk;;;Completed;02/07/2025 09:43 AM;Jenny Havstad;NO;22/07/2025 08:48 AM;;;;;"Classified as low risk because: - cells never made it to antibody production, i.e there was no product made that could have been impacted - no equipment, process or system was impacted - employee safety was not impacted - production was already delayed, as they were challenging to expand and customer was informed";;;;
390;"HE1/4b/3 did not pass purity specification during SDS-PAGE";High risk;;Gudrun Richstad;Completed;10/07/2025 09:56 AM;Gudrun Richstad;YES;19/02/2026 03:21 PM;;"16.07.2025 GYR interim closing:  Impurities in HE1 are under investigaion, however technical requirments of the analysis were met, and as SP2 and 931 passed their specification and were comparable to their reference batch, the results are deemed reliable and accepted. The Batches B9314 and B9280 can be released. Summary of investigation into the HE1/4b/3 bathes:During the Quality Control (QC) release testing of batch B9315 (HE1/4b/3), the product failed to meet the specified purity requirement of >90%. Additionally, the SDS-PAGE analysis revealed a band pattern inconsistent with the reference batch (B9028), specifically showing an additional band characteristic of IgG. Investigation Findings Contamination Confirmation: The presence of IgG was confirmed in batch B9315 using a Cedex Bioanalyzer (0.07 mg/mL IgG) and subsequently validated via ELISA. This is a critical impurity as the clone HE1/4b/3 is intended to produce IgE.   Affected Batches: The investigation was expanded to include all final batches from the relevant CL1000 production units. ELISA testing confirmed IgG contamination in batches B9315, B9317, B9363, and B9364.   Containment Boundary: Batch B9273 tested negative for IgG, establishing that the contamination event likely occurred post-Harvest 12.  ";"16.07.2025 GYR Interim closing:  The observed non-conformance is isolated to batches B9315, B9317, B9363, and B9364  (HE1/4b/3).  There is no indication that Sp2 or 931 are affected by this issue. The technical integrity of the gel run was confirmed, and all relevant specifications for Sp2 and 931 were fulfilled. Thus, product quality for batches B9314 and B9280 is not compromised, and these batches can proceed to release. Final impact assessment: The contamination is attributed to a specific, isolated handling error during manual harvest operations. While the CL1000 system is engineered to prevent contamination, the manual handling of harvest fluids presents a residual risk. Current routines are considered robust, re-engineering the process to eliminate this theoretical risk entirely is not considered cost-effective relative to the low likelihood of recurrence. The investigation is closed with the rejection of the affected batches.";"The investigation concludes that the root cause is cross-contamination during the harvesting process. It is hypothesized that hybridoma cells producing IgG were accidentally introduced into the HE1/4b/3 process stream (likely via accidentally shared media sources during harvest handling). Once introduced into the CL1000 units, the IgG-producing cells proliferated and outcompeted the IgE-producing cells over time, correlating with the increased impurity levels observed in later harvests.";"B9315 failed purity specificartion according to customer agreement";True;;;
391;"Harvesting of Sp2 not performed within time regime of 6-7 days after inoculation";Low risk;;;Completed;16/07/2025 10:13 AM;Gudrun Richstad;NO;18/07/2025 08:55 AM;;;;;"No impact on product quality, validation, HSE or customer agreements, ";;;;
392;"Product vials for B9314 not stored appropriately with parafilm seal";Low risk;;;Completed;18/07/2025 09:52 AM;Gudrun Richstad;NO;21/07/2025 10:59 AM;;;;;"No impact to product quality or timelines as sealing is mostly to ensure the product during shipping and the product was still located in-house.";;;;False
393;"Operator working in cleanroom without valid gowning validation";High risk;;Sigrid Eisner;Completed;18/07/2025 10:41 AM;Gudrun Richstad;NO;07/08/2025 02:47 PM;;"Two operators entered the clean room while waiting for their gowning re-validation results. The lack of operators during the summer month of July made it impossible to keep operators out of clean room while awaiting their revalidation results. Validation status are written into a manual list on BizzMine and has to be checked on regulaly. With the summer planning, this was not done in time and two dead lines came up too soon for it to be fixed in time.";"This issue was discovered and solved within the same month for gowning re-validations that are done once a year. The two operators who entered the clean room while waiting for their re-validation results were both very experienced and passed their re-validation shortly after. There was no increase in bio burden levels or infections, and therefore it has no considerable impact on any product or the facility.";"The root cause of this NC is defined as system/processes that doesn't work optimally. A separate manual validation list in BizzMine for the Production Manager to regularly check combined with the big amount of planning before a summer holiday where few operators are at work, makes this system prone to mistakes.";"This has a direct impact on operators validation status and is therefore considered a high risk NC.";;;;
394;"Cell viability below specification for QC control";High risk;;Jenny Havstad;Completed;18/07/2025 12:52 PM;Gudrun Richstad;NO;26/01/2026 12:41 PM;;"During technical review of cell banks for EO-1 and ABS 079-02, it was discovered that % viability of QC thawing was below specification of >35% viability. Root cause is determined to most likely miscalculation of the volume and/or total cells loaded per vial during PSS/MCB generation, as a result of inadequate documentation practices - specifically, the lack of a field for volume of cell suspension used for spin-down and freezing in DOC0002.1. For ABS 079-02, there were too many high-risk NCs registered related to the generation of the cell bank to approve its quality. The cell bank was discarded, and no further investigation of the low % viability of the QC thaw was considered necessary. ";"The cell bank for EO-1 passed specification upon thawing a new vial according to SOP0002 reaching viability of 43% (attachment 3).  The quality of cellbank PSS2 and MCB1 ABS 079-02 can not be guaranteed, considering all high-risk NCs related to it. They must therefore to be discarded, and generation will restart from PSS1. ";"Root cause is most likely miscalculation of the volume and/or total cells loaded per vial during PSS/MCB generation, as a result of inadequate documentation practices - specifically, the lack of a field for volume of cell suspension used for spin-down and freezing in DOC0002.1.";"Final product for clones ABS 079-02 do not conform to specification.";;;;True
395;"Discrepancies in naming and labelling of cellbanks and number of vials produced";High risk;;Gudrun Richstad;Completed;18/07/2025 02:21 PM;Gudrun Richstad;NO;23/07/2025 08:46 AM;;"During batch review of cell bank production for two projects, discrepancies were found in labelling practices and the number of vials produced.  While full traceability was maintained, gaps in procedures, operator training, and oversight contributed to inconsistent practices and a misunderstanding of requirements.";"QC testing confirmed sterility and viability for all MCB vials produced and batch documentation provides full traceability between source and resulting vials. Therefore, no risk to safety, identity, or purity of the final product.";"1.    Labelling and Traceability    a.      SOP0003 lacks specific guidance on how handle or discard failed cell banks or how to continue labelling after a failed cellbank (e.g., recloning scenarios or failed batches) and does not touch upon cellbanks without numbering.    b.     Cell stock register allows continued access to unapproved or failed cell bank entries without system restrictions or flagging.    c.      Operators responsible lacked a clear overview of the multiple concurrent cell bank processes.         2.      Vial Count Discrepancy    a.      Lack of clarity in SOP wording regarding QC vial requirements being in addition to MCB vials.    b.     Miscommunication or outdated training passed on by a retired cell expert regarding the required number of vials.";"As this non-conformance is regarding traceability of the product (labelling and naming) as well as in direct conflict with the agreement with the customer (number of vials), it is classified as high risk.";;;;
396;"Additive not added to medium";High risk;;Hans Petter Johansen;Completed;18/07/2025 03:06 PM;Yngve Ness;NO;23/07/2025 02:47 PM;;"During technical review, it was discovered that 8 of 13 medium batches used for ABS079-02 cell banking lacked sodium pyruvate, despite being required by the Product Specification. The root cause was identified as human error under high workload conditions, combined with limited oversight and operator inexperience. Medium register traceability was also found to be insufficient, prompting further improvements to the electronic system.";"Sodium pyruvate was not added consistently during cell expansion prior to cell bank creation. As it supports energy metabolism and stress resistance, its omission may impact cell growth, viability, or product consistency. Ther risk to product quality is considered moderate and prior to using the cellbanks further testing is needed. Cellbank ABS079-02 has several other high risk non-conformances (NC394 and NC395) and when everything is taken in to consideration, the quality of the cellbank can not be guaranteed. therefore the ABS079-02 cellbanks will be discarded and generation of the cellbanks will start over. ";"Root cause is therefore determined to be a combination of capacity planning (high workload of barely trained operators) and human error.";"Not according to costomer agreement, possible product impact";;;;
397;"Samples of high concentration not diluted during BioAnalyzer analysis";Low risk;;;Completed;28/07/2025 10:01 AM;Sigrid Eisner;NO;28/07/2025 12:44 PM;;;;;"This is a production of EO-1 through DEV164 with the aim to implement Corning CELLine flasks. This product does not have a scheduled delivery date or specific aim in amount that would affect any delivery to customer. The estimated yield from this production corresponded well with the amount of product collected after purification. Therefore, these IPC results have no impact on the final product or its potential delivery.";;;;
398;"Inconsistent results from Cedex Bioanalyser";Low risk;;;Completed;30/07/2025 08:54 AM;Nina Granum;NO;08/08/2025 12:47 PM;;;;;"No impact on product quality. ";;;;True
399;"High temperature reading from DIA022 CO2 incubator sensor";Low risk;;;Completed;31/07/2025 11:23 AM;Nina Granum;NO;07/08/2025 02:49 PM;;;;;"The temperature alarm was caused by a faulty sensor reading, not an actual increase in incubator temperature. No impact on product.";;;;
400;"Delayed signatures of verification for use of correct material during thawings";Low risk;;;Completed;04/08/2025 12:01 PM;Sigrid Eisner;NO;13/08/2025 12:39 PM;;;;;"Correct material is considered used and there is therefore no impact on product or timeline.";;;;False
401;"Analytical balance DIA010 will not turn on";Low risk;;;Completed;08/08/2025 11:17 AM;Jim Eero Lamppu;NO;12/08/2025 01:02 PM;;;;;"The balance is used for weighing chemicals for production use. Another balance was used for the production as a sufficient replacement. This is not optimal since it is not as precise and the analytical balance, but can be used if needed.";;False;;
402;"Monthly maintenance of pipetboys in analytical lab delayed";Low risk;;;Completed;12/08/2025 09:31 PM;Nina Granum;NO;02/12/2025 02:55 PM;;;;;"From the supplier it is recommended to change the filter every 3 month with normal use.The pipetboys used at analytical lab is not used on daily bases and all serological pipets used on those have an additional filter. ";;;;
403;"Bacterial growth on settle plates for LAF bench during D-validation";Low risk;;;Completed;12/08/2025 09:46 PM;Nina Granum;NO;20/08/2025 01:10 PM;;;;;"This non conformance has no impact on customer agreements, employee safety or the validated state of the equipment. There have been several validations performed in DIA223 after HPJ's validation, all with 0 CFU for LAF settle plate, so there is no reason to suspect something is wrong with the bench. No product was made during this validation, so this non conformance has no impact on product quality either. ";;;;
404;"Weekly maintenance not performed for DIA107";Low risk;;;Completed;22/08/2025 09:17 AM;Sigrid Eisner;NO;25/08/2025 09:49 AM;;;;;"No impact on product quality or timeline.";;;;
405;"Stuck drain in cold room DIA283";Low risk;;Jim Eero Lamppu;Completed;25/08/2025 10:37 AM;Jim Eero Lamppu;NO;26/09/2025 10:30 AM;;"The blocked drain happened on the 25.AUG.2025, 31 days after the last semi-monthly maintenance with 1000 ml Latona drain opener. This could again indicate that 1000ml of Latona drain opener on a semi-monthly basis is not enough to keep the drain free from blockage.";"No impact on the stored items as the leak only was on parts of the floor. This was quickly cleaned and sanitized with peroxide. the whole floor was cleaned with peroxide.";"The semi-monthly maintenance of drain is not performed frequently enough.The blocked drain happened on the 25.AUG.2025, 31 days after the last semi-monthly maintenance with 1000 ml Latona drain opener. This could indicate that 1000ml of Latona drain opener on a semi-monthly basis is not enough to keep the drain free from blockage.                                                                                                                                                                                                                                                                                                  Root cause: System/process - the identified root cause is that the current process of semi monthly maintenance with 1000ml of Latona fails to keep the drain clear, most likely due to insufficient frequency.";"The leakage leading to spillage of water and medium on the floor in cold room had little to no impact on Xcellerator or the environment of the cold room, as the xcellerator is running and outflow is unidirectional and small in amount.";;;;
406;"System pump P-900 in FPLC core system DIA005 stopped working";High risk;;Øyvind Røe;Completed;27/08/2025 09:58 AM;Øyvind Røe;YES;14/10/2025 01:09 PM;;"P-900 system pump, SN1350719, did fail after a production run with lower flow speed, no impact on product. Pump was sent for external service/repair, but no direct failure was found.A spare pump/system i already in place for replacement due to previous NC's.";"The last sample run (FPLC4106, B9370 pooled into B9372) before pump error did come out without errors. This is confirmed by the final results as a normal elution peak can be observed in the graph from run. Therefore this non conformance does not have a direct impact on product quality. Also the P-900 pump does not have any direct product contact. Spare system DIA284 will be out of function regarding P-900 unit.  It is identified a potential for delay of product delivery if purification was not performed following week, purification was planned the week after incident. But the spare pump was put in place in a short time (2 days including startup) and this was performed according to SOP for error handling.";"The P-900 pump in system DIA005 has been in yearly service for since it was new.The pump error failures that need external service appears not very often, every third year or so.  This is consistent with that it is not expected but still could happen.It is difficult to set a root cause since it is not clear why pump did fail.";"Stop in later purifications could turn into delivery delays and have economic impacts. It is critical for production that purification can be performed according to current scedules.";;;;
407;"Black particle discovered in medium (M250807A)";Low risk;;;Completed;02/09/2025 08:43 AM;Jenny Havstad;NO;24/09/2025 01:09 PM;;;;;"No infection observed throughout expansion of cells, therefore the particle can be considered sterile. This non-conformance is not considered to have an impact on production timeline or product quality. ";;;;
408;"Black particle discovered in CL1000 flask";Low risk;;;Completed;02/09/2025 10:36 AM;Jenny Havstad;NO;22/09/2025 01:05 PM;;;;;"No infection observed throughout the production. Therefore the particle can be considered sterile. No structural deterioration to the CL1000 could be identified. Therefore, production proceeded as expected. this non-conformance is not considered to have an impact on production timeline or product quality.";;;;
409;"Temporary shutdown of AcuSyst Xcellerator due to low system voltage";High risk;;Jim Eero Lamppu;Completed;02/09/2025 10:50 AM;Nina Granum;NO;07/10/2025 10:37 AM;;"Intermittent startup alarms and computer restarts were observed on the Xcellerator DIA408 during preparation and early operation. Voltage measurements showed that the 5 VDC supply to the computer board was consistently below specification, while other system boards maintained acceptable levels.  The low voltage caused the computer to intermittently interpret a power loss and restart, although all process-critical functions (circulation pump, flow paths, incubators) remained stable and unaffected. The supplier (C3) confirmed that the most probable root cause is a drifting/failing 5 VDC power supply.  Adjusting the terminal voltage temporarily restored stability, but repeated drift indicates that the power supply requires replacement.  No impact to product or process integrity was identified.  A replacement power supply will be installed during the scheduled October 2025 service.";"No impact on cells or harvested product occurred during these events as the machinery e.g. pumps, heat and such still keeps running. This is isolated to the computer board (display touch screen), due to temporary insufficient voltage supply to the computer board. ";"Root cause is assessed to be failing 5 VDC power supply. The instrument is first purchased in 2014 and was purched used. Hence the equipment is old and has a long run time.  ";"If the machine had not restarted automatically, it could have had major financial consequences, as the entire production might be restarted, and it would significantly affecting the timelines.";;;;
410;"Leakage in flowpath during fill flush for maximizer";Low risk;;;Completed;05/09/2025 04:46 PM;Nina Granum;NO;14/10/2025 12:21 PM;;;;;"The inoculation of the flow path was delayed by a couple of days. This did not affect the expansion of cells and the leak was detected before inoculation. Hence low risk.";;;;
411;"pH alarm in ASX production B9325";Low risk;;Jim Eero Lamppu;Completed;08/09/2025 09:13 AM;Nina Granum;NO;20/11/2025 02:53 PM;;"pH stabilized once the medium pump rate was increased, this indicates that the current pump rate was insufficient.";"All parameters such as pH, cell count, viability and concentration were carefully followed for the rest of the day and for several days afterwards and the system quickly stabilized. Concentration measured 04.09.2025 (before the pH alarm) : 1,01 mg/mL  Concentration measured 08.09.2025 (after the pH alarm) : 1,10 mg/mL Based on the previous run experiences and the current incident, it is highly unlikely that this has any impact on the product. ";"The medium pump rate was insufficient. Since we do not have an alarm system that provides notifications beyond the instrument itself, the alarm is not received outside working hours or during weekends. This pH drop occurred during a period of rapid cell growth, and the bioreactor should probably have been checked during the weekend.";"This NC is classified as a low risk considering the alarm limit was marginally exceeded  and had no impact to product quality.";;;;
412;"Storage location N3.3.1.82 missing in cellstock";High risk;;Gudrun Richstad;Completed;11/09/2025 10:16 AM;Gudrun Richstad;NO;12/09/2025 01:53 PM;;"Mistake during removal of information from Cellstock caused the location to be set as "xxx" instead of specific locations. Data was available in version log in Sharepoint and was possible to restore. Storage column data is now restricted where "xxx" is not a valid data.";"No impact to production, product quality or timelines, the vial was in the correct postion, removal was correctly documented and no information was lost as its readily available in Sharepoint audit trail";"1) System, where location data was available for editing. 2) Human error in removing information in cellstock that is not to be removed";"This NC does not impact product quality, employee safety or customers agreements. However it is classified as high risk due the potential impact it could have for the customer that store their cellbanks at CD if this incident and potential similar incidents had not been detected, as this is our only database for LN2 storage. Back up of cell stock register is performed and stored by IT supplier Braathe therefore information regarding deleted location can be recovered.";;;;
413;"Dilution during ELISA analysis not in accordance with PS";Low risk;;;Completed;17/09/2025 07:01 PM;Nina Granum;NO;19/09/2025 08:54 AM;;;;;"No impact on product quality, validated state of equipment/process, or employee safety. The analysis was not performed according to the specification of the initial customer agreements (PS). However, as the analysis was performed to a higher degree of accuracy and was agreed upon with customer this does not have any impact to the customer expectations. ";;;;
414;"EC medium tube disconnected from EC medium bottle";Low risk;;;Completed;24/09/2025 04:19 PM;Nina Granum;NO;14/10/2025 01:42 PM;;;;;"The deviation is classified as a low risk non conformance, as the risk of an actual contamination occurring is considered very low. Although a potential contamination could have a significant impact on production, the likelihood that this has occurred is assessed as low.";;;;
415;"Freezing date not recorded on CoA";Low risk;;;Completed;26/09/2025 08:43 AM;Joakim Sørgård;NO;07/10/2025 08:01 AM;;;;;"The lack of including freezing date is a loss in traceability for the batch documentation and CoA and is a direct omittance from the information specified to be included by the product specification. However, as the product quality is unaffected and the freezing date can be strongly indicated by the signed date of the other processes during batch release it is considered to be a low risk classification.";;;;
416;"Leakage from harvest bag during xcellerator B9325 run";Low risk;;;Completed;28/09/2025 02:20 PM;Nina Granum;NO;17/10/2025 08:10 AM;;;;;"The leakage was minor (~10 mL) and contained within a secondary bag inside the Xcellerator refrigerator. There was continuous outflow from the system, minimizing the risk of contamination. No abnormal parameters or signs of contamination were observed.";;;;
417;"Document templates not having revision workflow";Low risk;;;Completed;16/10/2025 11:24 AM;Joakim Sørgård;NO;17/11/2025 08:00 AM;;;;;"This non-conformance regards the potential lack of traceability during update of the document templates, but does not pose any direct impact to products, productions, or HSE.";;;;
418;"Delayed bi-annual cleaning of cleanroom";Low risk;;;Completed;21/10/2025 11:29 AM;Nina Granum;NO;17/11/2025 12:29 PM;;;;;"This nonconformance is classified as low risk because daily, weekly, and monthly cleaning routines were consistently maintained, and environmental monitoring results showed no deviations or concerns. The delay in bi-annual cleaning did not impact cleanroom integrity or ongoing production.";;;;
419;"Foreign object observed in CL1000 unit";High risk;;Jenny Havstad;Completed;21/10/2025 01:02 PM;Nina Granum;NO;17/11/2025 07:57 AM;;"After 13 days in quarantine, no infection was observed in CL1000 B9404, indicating the foreign object was sterile. This suggests it likely originated from a sterilized material - probably the flask itself, based on previous NCs registered - rather than from operator contamination.";"This NC resulted in loss of crude harvest  from one CL1000, and hence some final product, for project 2025-35. However, the remaining CL1000s of the project are expected to produce enough to comply with the customer agreement.  Impact is therefore considered low.";"Based on the investigation and other similar NCs, the foreign object in B9404 likely originated from the CL1000 flask itself. It is possibly a thin sliver shed from the black rubber membrane during manufacturing, rather than from operator contamination or the ADCF medium.";"While foreign objects have previously been observed in CL1000s (ref. NC360 & NC408 in the last 12 months), these were round or speck-like in appearance. In contrast, the foreign object identified in B9404 is hair-like, which significantly increases the contamination risk. ";;True;;
